"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","results"
"1594",13,"enrichment","middle","SELENOW",5.37478554224823,1.70471551235501e-07,0.000148858193846715,10845,"ENSG00000178980","c(""middle_top13""; ""middle-anterior_top9"")"
"1595",14,"enrichment","middle","MGST3",5.34023024483237,2.02497593310109e-07,0.000165035538547739,903,"ENSG00000143198","c(""middle_top14""; ""middle-anterior_top13"")"
"1596",15,"enrichment","middle","UQCRQ",5.29771595876576,2.49986756477612e-07,0.000183452375583218,3479,"ENSG00000164405","c(""middle_top15""; ""middle-anterior_top18"")"
"1597",16,"enrichment","middle","NDUFA1",5.29361066615847,2.55107597948034e-07,0.000183452375583218,12085,"ENSG00000125356","middle_top16"
"1598",17,"enrichment","middle","MT3",5.25079528054747,3.14966639755881e-07,0.00020265616689556,9102,"ENSG00000087250","middle_top17"
"1599",18,"enrichment","middle","METRN",5.23290149236624,3.43841087674642e-07,0.000210172864841125,8784,"ENSG00000103260","c(""middle_top18""; ""middle-anterior_top10"")"
"1600",19,"enrichment","middle","RPS27A",5.20460884797195,3.94811780469995e-07,0.000229836857916461,1413,"ENSG00000143947","c(""middle_top19""; ""middle-posterior_top2"")"
"1601",20,"enrichment","middle","FAU",5.16646139863753,4.7527669391157e-07,0.000264102617412224,6733,"ENSG00000149806","middle_top20"
"1602",21,"enrichment","middle","GAPDH",5.15513036412234,5.02098277989579e-07,0.000266876149931417,7131,"ENSG00000111640","middle-anterior_top14"
"1603",22,"enrichment","middle","RPS7",5.11727638774392,6.02773096794112e-07,0.000307037546179501,1234,"ENSG00000171863","middle-posterior_top14"
"1604",23,"enrichment","middle","COX7A2",4.95512621514797,1.30350321791303e-06,0.000637413073559471,4076,"ENSG00000112695","middle-anterior_top17"
"1605",24,"enrichment","middle","NDUFB2",4.88788198794287,1.78491036817264e-06,0.00083925112503502,4855,"ENSG00000090266","character(0)"
"1606",25,"enrichment","middle","FTH1",4.83127567730323,2.31965174998671e-06,0.00101277652298527,6656,"ENSG00000167996","character(0)"
"1729",1,"enrichment","posterior","MEG3",7.54973832017633,7.37444674745921e-13,4.50763057438444e-09,8330,"ENSG00000214548","c(""posterior_top1""; ""middle-anterior_top5""; ""posterior-anterior_top1""; ""all_top3"")"
"1730",2,"enrichment","posterior","EVL",6.90205072954139,3.90123263859849e-11,1.19231422517166e-07,8323,"ENSG00000196405","c(""posterior_top2""; ""posterior-anterior_top16""; ""posterior-middle_top1"")"
"1731",3,"enrichment","posterior","CERCAM",6.40066114332923,7.1699168619309e-10,1.09565292046382e-06,5756,"ENSG00000167123","c(""posterior_top3""; ""posterior-anterior_top6""; ""all_top15"")"
"1732",4,"enrichment","posterior","SNRNP70",6.06364550287993,4.66123318292433e-09,5.698357566125e-06,10872,"ENSG00000104852","c(""posterior_top4""; ""posterior-anterior_top5""; ""all_top12"")"
"1733",5,"enrichment","posterior","LENG8",5.95612559795485,8.34386675277459e-09,8.50031425438912e-06,10948,"ENSG00000167615","c(""posterior_top5""; ""posterior-anterior_top7""; ""all_top14"")"
"1734",6,"enrichment","posterior","KIF5A",5.88970032898516,1.19118513200589e-08,1.040159874198e-05,7411,"ENSG00000155980","c(""posterior_top6""; ""posterior-middle_top3"")"
"1735",7,"enrichment","posterior","PKD1",5.8335258281423,1.60606715312766e-08,1.30894472979904e-05,8826,"ENSG00000008710","c(""posterior_top7""; ""middle-anterior_top1""; ""posterior-anterior_top2""; ""all_top5"")"
"1736",8,"enrichment","posterior","WSB1",5.40883676886212,1.43750171926649e-07,9.57034560434649e-05,9528,"ENSG00000109046","c(""posterior_top8""; ""posterior-anterior_top9""; ""all_top16"")"
"1737",9,"enrichment","posterior","SCN1B",5.40203068651989,1.48741567674915e-07,9.57034560434649e-05,10632,"ENSG00000105711","c(""posterior_top9""; ""posterior-middle_top9"")"
"1738",10,"enrichment","posterior","PAQR6",5.3364167296369,2.06363591244992e-07,0.00012013309061762,836,"ENSG00000160781","posterior_top10"
"1739",11,"enrichment","posterior","KIFC2",5.31309747549225,2.31665027458103e-07,0.00012873204366706,5374,"ENSG00000167702","c(""posterior_top11""; ""posterior-anterior_top13"")"
"1740",12,"enrichment","posterior","SOHLH1",5.19428356415669,4.15167389673787e-07,0.000187978568102298,5831,"ENSG00000165643","posterior_top12"
"1741",13,"enrichment","posterior","VWA5B2",5.16587531342559,4.76613410629726e-07,0.000208092819462443,2653,"ENSG00000145198","c(""posterior_top13""; ""posterior-anterior_top12"")"
"1742",14,"enrichment","posterior","YPEL3",5.12296939951378,5.86451253807932e-07,0.000247219537165585,9020,"ENSG00000090238","c(""posterior_top14""; ""posterior-anterior_top11"")"
"1743",15,"enrichment","posterior","CORO6",5.09412622221186,6.73689921040207e-07,0.000274528642823885,9566,"ENSG00000167549","c(""posterior_top15""; ""middle-anterior_top11""; ""posterior-anterior_top4""; ""all_top9"")"
"1744",16,"enrichment","posterior","AL359091.1",5.08201354966791,7.13964137328666e-07,0.00028155521222074,5755,"ENSG00000207955","c(""posterior_top16""; ""posterior-anterior_top17"")"
"1745",17,"enrichment","posterior","ABCA2",4.96994382699568,1.21570911720198e-06,0.000450364968418005,5862,"ENSG00000107331","posterior_top17"
"1746",18,"enrichment","posterior","SCNN1D",4.92012302997264,1.53579327903672e-06,0.000552208024594819,12,"ENSG00000162572","c(""posterior_top18""; ""posterior-anterior_top18"")"
"1747",19,"enrichment","posterior","KAT2A",4.83225251982107,2.30917106602393e-06,0.000730517610481843,9673,"ENSG00000108773","c(""posterior_top19""; ""middle-anterior_top6""; ""posterior-anterior_top3""; ""all_top7"")"
"1748",20,"enrichment","posterior","ATF4",4.82476220244053,2.39024167028824e-06,0.000730517610481843,11690,"ENSG00000128272","c(""posterior_top20""; ""middle-anterior_top19""; ""posterior-anterior_top10""; ""all_top13"")"
"1749",21,"enrichment","posterior","PSD",4.74344979896485,3.46717018903358e-06,0.000995944065666153,6249,"ENSG00000059915","posterior-middle_top18"
"1750",22,"enrichment","posterior","CARNS1",4.72136435884635,3.83253121150293e-06,0.00104117097912496,6803,"ENSG00000172508","character(0)"
"1751",23,"enrichment","posterior","HAPLN2",4.59167017929706,6.85229899379061e-06,0.00174519489998105,845,"ENSG00000132702","character(0)"
"1752",24,"enrichment","posterior","RGS11",4.55221088291248,8.15710073847702e-06,0.0020351133985282,8763,"ENSG00000076344","character(0)"
"1753",25,"enrichment","posterior","NEFH",4.5342306024409,8.82799003331614e-06,0.00211612114033902,11590,"ENSG00000100285","posterior-middle_top17"
"1919",1,"pairwise","anterior-middle","C5orf63",9.05018505649838,3.50417236772216e-17,4.28385071954035e-13,3456,"ENSG00000164241","c(""anterior_top1""; ""anterior-middle_top1""; ""anterior-posterior_top1""; ""all_top1"")"
"1920",2,"pairwise","anterior-middle","GPM6A",8.94554574995704,7.24225668819272e-17,4.4268294006578e-13,3133,"ENSG00000150625","c(""anterior_top2""; ""anterior-middle_top2""; ""anterior-posterior_top2""; ""all_top2"")"
"1921",3,"pairwise","anterior-middle","SEC62",8.43997173724577,2.27168725942964e-15,9.25712558217579e-12,2605,"ENSG00000008952","c(""anterior_top3""; ""anterior-middle_top3""; ""anterior-posterior_top3""; ""all_top4"")"
"1922",4,"pairwise","anterior-middle","NFIX",7.85594112912875,1.05955624299429e-13,2.15884584510086e-10,10480,"ENSG00000008441","c(""anterior_top16""; ""anterior-middle_top4""; ""posterior-middle_top15"")"
"1923",5,"pairwise","anterior-middle","MTRNR2L1",7.60328858956524,5.31400062383125e-13,7.44401016176966e-10,9527,"ENSG00000256618","c(""anterior_top5""; ""anterior-middle_top5""; ""anterior-posterior_top8""; ""all_top10"")"
"1924",6,"pairwise","anterior-middle","MTRNR2L10",7.59841307974493,5.48025287983043e-13,7.44401016176966e-10,11946,"ENSG00000256045","c(""anterior_top4""; ""anterior-middle_top6""; ""anterior-posterior_top4""; ""all_top8"")"
"1925",7,"pairwise","anterior-middle","MTRNR2L3",7.19515504061518,6.71498399685916e-12,5.86361995440023e-09,11294,"ENSG00000256222","c(""anterior_top6""; ""anterior-middle_top7""; ""anterior-posterior_top17""; ""all_top17"")"
"1926",8,"pairwise","anterior-middle","HNRNPL",6.84157373482598,5.62527948650442e-11,3.6194232485535e-08,10706,"ENSG00000104824","c(""anterior_top14""; ""anterior-middle_top8"")"
"1927",9,"pairwise","anterior-middle","HSP90AA1",6.78925066640574,7.65898797668107e-11,4.6815564007463e-08,8334,"ENSG00000080824","c(""anterior_top7""; ""anterior-middle_top9""; ""anterior-posterior_top11""; ""all_top19"")"
"1928",10,"pairwise","anterior-middle","MTRNR2L6",6.34882793714291,9.65839405399756e-10,3.80883442935872e-07,4863,"ENSG00000270672","c(""anterior_top19""; ""anterior-middle_top10"")"
"1929",11,"pairwise","anterior-middle","TSPYL4",6.26265118422287,1.56454503742393e-09,5.79592820682048e-07,4183,"ENSG00000187189","anterior-middle_top11"
"1930",12,"pairwise","anterior-middle","APP",6.10615695628945,3.71288428258469e-09,1.335000304547e-06,11380,"ENSG00000142192","anterior-middle_top12"
"1931",13,"pairwise","anterior-middle","HSP90AB1",6.0806869389164,4.2674441087179e-09,1.4905572636879e-06,4022,"ENSG00000096384","c(""anterior_top8""; ""anterior-middle_top13""; ""anterior-posterior_top7""; ""all_top20"")"
"1932",14,"pairwise","anterior-middle","SYP",5.98956862409082,6.99826355155746e-09,2.25141505046816e-06,11919,"ENSG00000102003","anterior-middle_top14"
"1933",15,"pairwise","anterior-middle","MTRNR2L11",5.98226506128751,7.27964302015298e-09,2.28188810054795e-06,1193,"ENSG00000270188","anterior-middle_top15"
"1934",16,"pairwise","anterior-middle","TMBIM6",5.94087980644827,9.09575160097076e-09,2.77988908304669e-06,7305,"ENSG00000139644","c(""anterior_top10""; ""anterior-middle_top16""; ""anterior-posterior_top14"")"
"1935",17,"pairwise","anterior-middle","CELF4",5.85798442816713,1.41627783004876e-08,3.93499919826049e-06,10139,"ENSG00000101489","c(""anterior_top12""; ""anterior-middle_top17"")"
"1936",18,"pairwise","anterior-middle","PSIP1",5.7935348381129,1.9921806106641e-08,5.4120906589708e-06,5421,"ENSG00000164985","anterior-middle_top18"
"1937",19,"pairwise","anterior-middle","BASP1",5.70087291774367,3.23819854803464e-08,8.24728692702572e-06,3206,"ENSG00000176788","c(""anterior_top9""; ""anterior-middle_top19""; ""anterior-posterior_top6""; ""all_top18"")"
"1938",20,"pairwise","anterior-middle","RTF1",5.6654020646008,3.89415168801647e-08,9.71551109918395e-06,8449,"ENSG00000137815","anterior-middle_top20"
"1939",21,"pairwise","anterior-middle","ZYG11B",5.61209234543271,5.1301159477628e-08,1.22971896983138e-05,445,"ENSG00000162378","anterior_top17"
"1940",22,"pairwise","anterior-middle","ACTN4",5.56143239781567,6.65466651096361e-08,1.50654255734315e-05,10704,"ENSG00000130402","character(0)"
"1941",23,"pairwise","anterior-middle","G3BP2",5.42618743525281,1.32163194681122e-07,2.88516974102984e-05,2912,"ENSG00000138757","character(0)"
"1942",24,"pairwise","anterior-middle","CTNNB1",5.40272430547361,1.48681318922503e-07,3.13384331694414e-05,2163,"ENSG00000168036","character(0)"
"1943",25,"pairwise","anterior-middle","TMX4",5.39795670672993,1.52275135759747e-07,3.15519243163205e-05,11081,"ENSG00000125827","character(0)"
"2837",1,"pairwise","anterior-posterior","C5orf63",12.3925174734849,5.23374738508139e-28,6.398256178262e-24,3456,"ENSG00000164241","c(""anterior_top1""; ""anterior-middle_top1""; ""anterior-posterior_top1""; ""all_top1"")"
"2838",2,"pairwise","anterior-posterior","GPM6A",11.5933048891135,2.59034808733315e-25,1.58335026838239e-21,3133,"ENSG00000150625","c(""anterior_top2""; ""anterior-middle_top2""; ""anterior-posterior_top2""; ""all_top2"")"
"2839",3,"pairwise","anterior-posterior","SEC62",9.9698589252319,5.00885039578009e-20,1.53082990221029e-16,2605,"ENSG00000008952","c(""anterior_top3""; ""anterior-middle_top3""; ""anterior-posterior_top3""; ""all_top4"")"
"2840",4,"pairwise","anterior-posterior","MTRNR2L10",7.992754511191,4.36830794819884e-14,4.45021372222757e-11,11946,"ENSG00000256045","c(""anterior_top4""; ""anterior-middle_top6""; ""anterior-posterior_top4""; ""all_top8"")"
"2841",5,"pairwise","anterior-posterior","MT-ND4",7.68999934187585,3.06630703589076e-13,2.6305899145382e-10,12221,"ENSG00000198886","anterior-posterior_top5"
"2842",6,"pairwise","anterior-posterior","BASP1",7.64358347787291,4.11765183416307e-13,3.14614335454022e-10,3206,"ENSG00000176788","c(""anterior_top9""; ""anterior-middle_top19""; ""anterior-posterior_top6""; ""all_top18"")"
"2843",7,"pairwise","anterior-posterior","HSP90AB1",7.38914953206644,2.03284450279743e-12,1.46185435568815e-09,4022,"ENSG00000096384","c(""anterior_top8""; ""anterior-middle_top13""; ""anterior-posterior_top7""; ""all_top20"")"
"2844",8,"pairwise","anterior-posterior","MTRNR2L1",7.1268807987372,1.01767448930426e-11,6.91170590652479e-09,9527,"ENSG00000256618","c(""anterior_top5""; ""anterior-middle_top5""; ""anterior-posterior_top8""; ""all_top10"")"
"2845",9,"pairwise","anterior-posterior","NUCKS1",7.01998246167826,1.94138753939593e-11,1.20776134974004e-08,1052,"ENSG00000069275","c(""anterior_top18""; ""anterior-posterior_top9"")"
"2846",10,"pairwise","anterior-posterior","RAC1",7.00001069383674,2.18885288125265e-11,1.27422507015779e-08,4388,"ENSG00000136238","c(""anterior_top11""; ""anterior-posterior_top10"")"
"2847",11,"pairwise","anterior-posterior","HSP90AA1",6.95555891257151,2.85655423002026e-11,1.39991298079345e-08,8334,"ENSG00000080824","c(""anterior_top7""; ""anterior-middle_top9""; ""anterior-posterior_top11""; ""all_top19"")"
"2848",12,"pairwise","anterior-posterior","MT-CO3",6.95519304168312,2.86280773168395e-11,1.39991298079345e-08,12218,"ENSG00000198938","c(""anterior-posterior_top12""; ""middle-posterior_top9"")"
"2849",13,"pairwise","anterior-posterior","PCBP1",6.72867330275676,1.0926825784992e-10,4.61930874403189e-08,1465,"ENSG00000169564","c(""anterior_top20""; ""anterior-posterior_top13"")"
"2850",14,"pairwise","anterior-posterior","TMBIM6",6.72248313292594,1.13295351998832e-10,4.61930874403189e-08,7305,"ENSG00000139644","c(""anterior_top10""; ""anterior-middle_top16""; ""anterior-posterior_top14"")"
"2851",15,"pairwise","anterior-posterior","MARCKS",6.68317884237769,1.42491594973035e-10,5.44362421420423e-08,4179,"ENSG00000277443","anterior-posterior_top15"
"2852",16,"pairwise","anterior-posterior","LMO4",6.66126088013894,1.61863677520898e-10,5.99631350816055e-08,543,"ENSG00000143013","c(""anterior_top13""; ""anterior-posterior_top16"")"
"2853",17,"pairwise","anterior-posterior","MTRNR2L3",6.57278145511389,2.70017350323146e-10,9.16933918805685e-08,11294,"ENSG00000256222","c(""anterior_top6""; ""anterior-middle_top7""; ""anterior-posterior_top17""; ""all_top17"")"
"2854",18,"pairwise","anterior-posterior","MT-ATP6",6.56506570933504,2.82278261451366e-10,9.32662634119716e-08,12217,"ENSG00000198899","anterior-posterior_top18"
"2855",19,"pairwise","anterior-posterior","HMGB1",6.37941409253335,8.12983147974175e-10,2.48467974599607e-07,7790,"ENSG00000189403","anterior-posterior_top19"
"2856",20,"pairwise","anterior-posterior","MORF4L1",6.36775829030523,8.68209202812102e-10,2.58874573277511e-07,8664,"ENSG00000185787","c(""anterior_top15""; ""anterior-posterior_top20"")"
"2857",21,"pairwise","anterior-posterior","MT-ND3",6.36231117133765,8.95263903214048e-10,2.60585743256946e-07,12219,"ENSG00000198840","middle-posterior_top4"
"2858",22,"pairwise","anterior-posterior","MT-ND2",6.28245120124931,1.40097989937867e-09,3.98301843486144e-07,12213,"ENSG00000198763","character(0)"
"2859",23,"pairwise","anterior-posterior","MT-CYB",6.2091146494298,2.10634483108912e-09,5.59784033914447e-07,12224,"ENSG00000198727","character(0)"
"2860",24,"pairwise","anterior-posterior","CELF4",6.12104595050032,3.42206605542672e-09,8.90101223991313e-07,10139,"ENSG00000101489","c(""anterior_top12""; ""anterior-middle_top17"")"
"2861",25,"pairwise","anterior-posterior","YWHAB",6.05384806890224,4.93947932939703e-09,1.23234968983426e-06,11232,"ENSG00000166913","character(0)"
"3933",1,"pairwise","middle-posterior","SLIRP",5.31463222309328,2.30577637683318e-07,0.00175160425702472,8253,"ENSG00000119705","c(""middle_top3""; ""middle-posterior_top1"")"
"3934",2,"pairwise","middle-posterior","RPS27A",4.93053397221944,1.46603663526019e-06,0.00457429684666084,1413,"ENSG00000143947","c(""middle_top19""; ""middle-posterior_top2"")"
"3935",3,"pairwise","middle-posterior","RPS21",4.84827478954878,2.14903304951133e-06,0.00457429684666084,11320,"ENSG00000171858","middle-posterior_top3"
"3936",4,"pairwise","middle-posterior","MT-ND3",4.79678134565862,2.72353455387535e-06,0.00457429684666084,12219,"ENSG00000198840","middle-posterior_top4"
"3937",5,"pairwise","middle-posterior","RPS15A",4.74872180851498,3.39158222233039e-06,0.00457429684666084,8938,"ENSG00000134419","c(""middle_top9""; ""middle-posterior_top5"")"
"3938",6,"pairwise","middle-posterior","RPS23",4.71592885060385,3.93537504856559e-06,0.00457429684666084,3371,"ENSG00000186468","middle-posterior_top6"
"3939",7,"pairwise","middle-posterior","MT-CO1",4.70813005167266,4.07656921043134e-06,0.00457429684666084,12214,"ENSG00000198804","middle-posterior_top7"
"3940",8,"pairwise","middle-posterior","RPL37A",4.6786886449286,4.65491139377322e-06,0.00457429684666084,1900,"ENSG00000197756","middle-posterior_top8"
"3941",9,"pairwise","middle-posterior","MT-CO3",4.66889348898772,4.86428294532441e-06,0.00457429684666084,12218,"ENSG00000198938","c(""anterior-posterior_top12""; ""middle-posterior_top9"")"
"3942",10,"pairwise","middle-posterior","RPL34",4.6330651309249,5.71013607987926e-06,0.00466998447077414,3002,"ENSG00000109475","middle-posterior_top10"
"3943",11,"pairwise","middle-posterior","RPL35A",4.63228505858579,5.73004229542839e-06,0.00466998447077414,2722,"ENSG00000182899","middle-posterior_top11"
"3944",12,"pairwise","middle-posterior","RPL37",4.60018657243001,6.6096361075939e-06,0.00484732902508998,3247,"ENSG00000145592","middle-posterior_top12"
"3945",13,"pairwise","middle-posterior","RPS28",4.59576092159481,6.74066203897993e-06,0.00484732902508998,10388,"ENSG00000233927","middle-posterior_top13"
"3946",14,"pairwise","middle-posterior","RPS7",4.57048724266989,7.53815486290812e-06,0.00511966351105843,1234,"ENSG00000171863","middle-posterior_top14"
"3947",15,"pairwise","middle-posterior","RPS25",4.54611751374689,8.39256229602083e-06,0.00539995126678183,7017,"ENSG00000118181","middle-posterior_top15"
"3948",16,"pairwise","middle-posterior","RPS14",4.50026736435223,1.02589245569063e-05,0.00597215965277044,3586,"ENSG00000164587","middle-posterior_top16"
"3949",17,"pairwise","middle-posterior","RPL18",4.40030517706203,1.58069966943703e-05,0.00781729064674322,10857,"ENSG00000063177","middle-posterior_top17"
"3950",18,"pairwise","middle-posterior","RPS27",4.39337826037387,1.62831302756839e-05,0.00781729064674322,785,"ENSG00000177954","middle-posterior_top18"
"3951",19,"pairwise","middle-posterior","RPL26",4.36927608807921,1.80492975506954e-05,0.00817232083545373,9458,"ENSG00000161970","middle-posterior_top19"
"3952",20,"pairwise","middle-posterior","RPS15",4.36070458939688,1.87205597887217e-05,0.00817353012204009,10264,"ENSG00000115268","c(""middle_top11""; ""middle-posterior_top20"")"
"3953",21,"pairwise","middle-posterior","RPL17",4.24214287322045,3.0844600726712e-05,0.0130025946166915,10162,"ENSG00000265681","character(0)"
"3954",22,"pairwise","middle-posterior","RPS19",4.20138428642425,3.65300262063804e-05,0.0148859856791,10758,"ENSG00000105372","character(0)"
"3955",23,"pairwise","middle-posterior","NDUFA1",4.17523627926573,4.06903534647569e-05,0.0159908087811594,12085,"ENSG00000125356","middle_top16"
"3956",24,"pairwise","middle-posterior","MT-CO2",4.16836001473919,4.1857331778904e-05,0.0159908087811594,12215,"ENSG00000198712","character(0)"
"3957",25,"pairwise","middle-posterior","UQCR11",4.11519207457086,5.20218998000992e-05,0.0192717492441277,10271,"ENSG00000127540","c(""middle_top1""; ""middle-anterior_top7"")"
"3986",1,"pairwise","middle-anterior","PKD1",8.02148739665366,3.62251279519725e-14,9.09634645424915e-11,8826,"ENSG00000008710","c(""posterior_top7""; ""middle-anterior_top1""; ""posterior-anterior_top2""; ""all_top5"")"
"3987",2,"pairwise","middle-anterior","NPDC1",8.01739923070422,3.72038709785241e-14,9.09634645424915e-11,5863,"ENSG00000107281","c(""middle-anterior_top2""; ""posterior-anterior_top8""; ""all_top6"")"
"3988",3,"pairwise","middle-anterior","EDF1",7.78728726453116,1.64725022805865e-13,2.87680486257386e-10,5855,"ENSG00000107223","c(""middle_top4""; ""middle-anterior_top3"")"
"3989",4,"pairwise","middle-anterior","REX1BD",7.57623826106745,6.30355538366333e-13,7.70609645652842e-10,10563,"ENSG00000006015","c(""middle-anterior_top4""; ""posterior-anterior_top14""; ""all_top11"")"
