"","top","model_type","test","gene","stat","pval","fdr","gene_index","ensembl","results"
"1",1,"enrichment","anterior","C5orf63",12.1511824657189,3.2942336959844e-27,4.02720069334093e-23,3456,"ENSG00000164241","c(""anterior_top1""; ""anterior-middle_top1""; ""anterior-posterior_top1""; ""all_top1"")"
"2",2,"enrichment","anterior","GPM6A",11.7226651425703,9.18051601488059e-26,5.61159041409576e-22,3133,"ENSG00000150625","c(""anterior_top2""; ""anterior-middle_top2""; ""anterior-posterior_top2""; ""all_top2"")"
"3",3,"enrichment","anterior","SEC62",10.6043414734937,4.52675855426388e-22,1.84465411086253e-18,2605,"ENSG00000008952","c(""anterior_top3""; ""anterior-middle_top3""; ""anterior-posterior_top3""; ""all_top4"")"
"4",4,"enrichment","anterior","MTRNR2L10",9.02005219794208,4.2443525868195e-17,7.41245862483833e-14,11946,"ENSG00000256045","c(""anterior_top4""; ""anterior-middle_top6""; ""anterior-posterior_top4""; ""all_top8"")"
"5",5,"enrichment","anterior","MTRNR2L1",8.521144966942,1.29649119192066e-15,1.584960482123e-12,9527,"ENSG00000256618","c(""anterior_top5""; ""anterior-middle_top5""; ""anterior-posterior_top8""; ""all_top10"")"
"6",6,"enrichment","anterior","MTRNR2L3",7.96224013512791,5.26466777686663e-14,4.95081258247651e-11,11294,"ENSG00000256222","c(""anterior_top6""; ""anterior-middle_top7""; ""anterior-posterior_top17""; ""all_top17"")"
"7",7,"enrichment","anterior","HSP90AA1",7.95024766646134,5.69123981283869e-14,4.96967190799664e-11,8334,"ENSG00000080824","c(""anterior_top7""; ""anterior-middle_top9""; ""anterior-posterior_top11""; ""all_top19"")"
"8",8,"enrichment","anterior","HSP90AB1",7.76535371311972,1.87538308655373e-13,1.52843721554129e-10,4022,"ENSG00000096384","c(""anterior_top8""; ""anterior-middle_top13""; ""anterior-posterior_top7""; ""all_top20"")"
"9",9,"enrichment","anterior","BASP1",7.66476751121997,3.56281775058064e-13,2.72221543755302e-10,3206,"ENSG00000176788","c(""anterior_top9""; ""anterior-middle_top19""; ""anterior-posterior_top6""; ""all_top18"")"
"10",10,"enrichment","anterior","TMBIM6",7.31846039067692,3.12161204949314e-12,1.90808536525268e-09,7305,"ENSG00000139644","c(""anterior_top10""; ""anterior-middle_top16""; ""anterior-posterior_top14"")"
"11",11,"enrichment","anterior","RAC1",7.11146002888152,1.10862334593106e-11,5.64705016833633e-09,4388,"ENSG00000136238","c(""anterior_top11""; ""anterior-posterior_top10"")"
"12",12,"enrichment","anterior","CELF4",6.92998391823383,3.30363853169031e-11,1.55334542499669e-08,10139,"ENSG00000101489","c(""anterior_top12""; ""anterior-middle_top17"")"
"13",13,"enrichment","anterior","LMO4",6.84396530720123,5.50781022778553e-11,2.40474928695279e-08,543,"ENSG00000143013","c(""anterior_top13""; ""anterior-posterior_top16"")"
"14",14,"enrichment","anterior","HNRNPL",6.76355111246281,8.84816673183634e-11,3.48219603287245e-08,10706,"ENSG00000104824","c(""anterior_top14""; ""anterior-middle_top8"")"
"15",15,"enrichment","anterior","MORF4L1",6.75849099841175,9.11495076089313e-11,3.48219603287245e-08,8664,"ENSG00000185787","c(""anterior_top15""; ""anterior-posterior_top20"")"
"16",16,"enrichment","anterior","NFIX",6.72402741932942,1.11545175217489e-10,4.01070519715826e-08,10480,"ENSG00000008441","c(""anterior_top16""; ""anterior-middle_top4""; ""posterior-middle_top15"")"
"17",17,"enrichment","anterior","ZYG11B",6.67990038352018,1.44311767853582e-10,4.76813881624334e-08,445,"ENSG00000162378","anterior_top17"
"18",18,"enrichment","anterior","NUCKS1",6.64809092209151,1.73630470821635e-10,5.4426474507551e-08,1052,"ENSG00000069275","c(""anterior_top18""; ""anterior-posterior_top9"")"
"19",19,"enrichment","anterior","MTRNR2L6",6.61177299575009,2.14299346821005e-10,6.33174262998461e-08,4863,"ENSG00000270672","c(""anterior_top19""; ""anterior-middle_top10"")"
"20",20,"enrichment","anterior","PCBP1",6.59156608332363,2.40838813548492e-10,6.84710347821005e-08,1465,"ENSG00000169564","c(""anterior_top20""; ""anterior-posterior_top13"")"
"21",21,"enrichment","anterior","ACTN4",6.52521181035562,3.52772324109136e-10,9.10976782248123e-08,10704,"ENSG00000130402","character(0)"
"22",22,"enrichment","anterior","TSPYL4",6.52279949019281,3.57684135361226e-10,9.10976782248123e-08,4183,"ENSG00000187189","anterior-middle_top11"
"23",23,"enrichment","anterior","MARCKS",6.48997789165349,4.31574139024885e-10,1.03450859795671e-07,4179,"ENSG00000277443","anterior-posterior_top15"
"24",24,"enrichment","anterior","PSIP1",6.48020433168454,4.56338369125499e-10,1.07283395433831e-07,5421,"ENSG00000164985","anterior-middle_top18"
"25",25,"enrichment","anterior","MT-ND4",6.46876837230631,4.87089343171334e-10,1.12352211703199e-07,12221,"ENSG00000198886","anterior-posterior_top5"
"1582",1,"enrichment","middle","UQCR11",6.42958554077634,6.08640309860381e-10,3.72031389402158e-06,10271,"ENSG00000127540","c(""middle_top1""; ""middle-anterior_top7"")"
"1583",2,"enrichment","middle","NAA38",6.14792146490415,2.93834154618673e-09,1.19737418007109e-05,9444,"ENSG00000183011","c(""middle_top2""; ""middle-anterior_top8"")"
"1584",3,"enrichment","middle","SLIRP",6.030997196349,5.56732737929418e-09,1.70151443029678e-05,8253,"ENSG00000119705","c(""middle_top3""; ""middle-posterior_top1"")"
"1585",4,"enrichment","middle","EDF1",5.93046284947594,9.5778989215581e-09,2.34179628632095e-05,5855,"ENSG00000107223","c(""middle_top4""; ""middle-anterior_top3"")"
"1586",5,"enrichment","middle","NDUFA3",5.82854436202069,1.64911913785691e-08,3.36008024338346e-05,10937,"ENSG00000170906","c(""middle_top5""; ""middle-anterior_top15"")"
"1587",6,"enrichment","middle","ELOB",5.75117288337986,2.47990347005466e-08,4.33097427448831e-05,8848,"ENSG00000103363","middle_top6"
"1588",7,"enrichment","middle","UBL5",5.6888573159886,3.43474892835282e-08,5.24872570613916e-05,10408,"ENSG00000198258","c(""middle_top7""; ""middle-anterior_top12"")"
"1589",8,"enrichment","middle","COPS9",5.55542331899558,6.83949374842209e-08,9.13340946721524e-05,1997,"ENSG00000172428","middle_top8"
"1590",9,"enrichment","middle","RPS15A",5.53814251168206,7.47109158872413e-08,9.13340946721524e-05,8938,"ENSG00000134419","c(""middle_top9""; ""middle-posterior_top5"")"
"1591",10,"enrichment","middle","TMA7",5.51821707627471,8.27000867819687e-08,9.19098691735971e-05,2212,"ENSG00000232112","middle_top10"
"1592",11,"enrichment","middle","RPS15",5.45658704974247,1.13041050804011e-07,0.000115160570506586,10264,"ENSG00000115268","c(""middle_top11""; ""middle-posterior_top20"")"
"1593",12,"enrichment","middle","SERF2",5.4377294529258,1.24320456772584e-07,0.000116909044926526,8484,"ENSG00000140264","middle_top12"
