,Astro,EndoMural,Micro,Oligo,OPC,Excit_L2_3,Excit_L3,Excit_L3_4_5,Excit_L4,Excit_L5,Excit_L5_6,Excit_L6,Inhib
Astro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EndoMural,0.014295693319713707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Micro,0.01209759796126831,0.01128182446829049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oligo,0.012315231165074785,0.011681286703664312,0.01147629026653047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OPC,0.010379699736383006,0.009429836108156682,0.00907600664132293,0.009900906688008762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L2_3,0.010670345369853588,0.010314409775241064,0.009010014637588062,0.008875924502339557,0.007854452529634973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L3,0.011984569103807527,0.012498464281827978,0.005810806541632881,0.005400111624772275,0.003332596188610763,0.010165576745541152,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L3_4_5,0.022441493525412186,0.021903728899232318,0.01388991270100357,0.014697963725459224,0.00899246357276496,0.01644745386702611,0.04022212627640119,0.0,0.0,0.0,0.0,0.0,0.0
Excit_L4,0.021881965578851668,0.021537964708318855,0.013305813263690708,0.014177750164102457,0.008456805074363862,0.016204547129874368,0.04045029011910153,0.0580146937514699,0.0,0.0,0.0,0.0,0.0
Excit_L5,0.022445705780969733,0.022054668056711,0.01387095755099462,0.014756233260671926,0.00897561455053478,0.016505723402238815,0.040479073865411414,0.05860019727396861,0.05818739622932923,0.0,0.0,0.0,0.0
Excit_L5_6,0.00233007936591513,0.0024016877103933895,0.0009266962226598288,0.0008691287300400516,0.0004640501539228385,0.0018891966175587872,0.013373209352611423,0.013738271500931962,0.013824622739861627,0.01383023908060502,0.0,0.0,0.0
Excit_L6,0.0013949586321402119,0.0015150079155302352,0.0007834795337033097,0.0015957428137165083,0.0005321482854364774,0.0007132752744108985,0.006963560479214274,0.008793083476374511,0.008852757096773061,0.008918749100507928,0.003431584194213063,0.0,0.0
Inhib,0.0051354415672398845,0.005737794111968773,0.0024887409919159796,0.0026523169160672976,0.0019186824064616,0.006596392203114963,0.011939638377860384,0.018864586514463832,0.018762790338489835,0.019069582951597674,0.002075939947276601,0.001264378709856327,0.0
