label,confidence,id,quantile
astro,0.5517613172288236,5645,1
astro,0.533393702981863,11304,1
astro,0.4898317589987918,6687,1
astro,0.5050414596039239,12560,1
astro,0.7945797248392475,16597,2
astro,0.7946058453929422,13630,2
astro,0.734529370448764,11214,2
astro,0.7994949359207072,30136,2
astro,0.856498698574227,16091,3
astro,0.9727777860759534,5308,3
astro,0.9053748627590894,546,3
astro,0.9065124105996014,17803,3
astro,0.9980409020699588,12442,4
astro,0.9877143096731732,10404,4
astro,0.9955183212050264,1279,4
astro,0.9825778592940536,17128,4
micro,0.5717163621688913,16663,1
micro,0.5182271389026446,2385,1
micro,0.6353793130098593,13645,1
micro,0.6178673784274168,25293,1
micro,0.7949054068329479,16142,2
micro,0.8720246129933534,4443,2
micro,0.7311205074955562,9946,2
micro,0.8656143127372918,20628,2
micro,0.983828274910069,1102,3
micro,0.961926085850574,19408,3
micro,0.9400322498740752,4487,3
micro,0.9028816785900774,4667,3
micro,0.9999115665346991,31778,4
micro,0.9988279483378896,12297,4
micro,0.9942293882204144,31319,4
micro,0.9904333175443284,5314,4
neuron,0.5804133350520848,13863,1
neuron,0.6934719986005268,22631,1
neuron,0.4899652833955201,25288,1
neuron,0.6609405533713809,21793,1
neuron,0.964372004021798,19710,2
neuron,0.9689078552136652,30007,2
neuron,0.9291160334626788,10791,2
neuron,0.9579214324281852,11221,2
neuron,0.9993866309727152,22207,3
neuron,0.9989340970496458,111,3
neuron,0.9985356843849492,19073,3
neuron,0.999886237421438,13970,3
neuron,0.9999843942424476,24195,4
neuron,0.999995835040353,10216,4
neuron,0.9999999551486816,25173,4
neuron,0.9999819188901682,23421,4
oligo,0.5867568267182629,27859,1
oligo,0.7130544548603449,13940,1
oligo,0.6019572451748637,22603,1
oligo,0.5869524200378379,3004,1
oligo,0.8286866098637391,4159,2
oligo,0.9419935428411108,15244,2
oligo,0.869466302890849,17269,2
oligo,0.9101078119853678,18700,2
oligo,0.9930624518677972,15621,3
oligo,0.9943934570521732,19315,3
oligo,0.9830400042229198,2170,3
oligo,0.9628425336139584,4552,3
oligo,0.9984770369211844,8482,4
oligo,0.9992050141905824,18787,4
oligo,0.996159870520969,28487,4
oligo,0.998997147383162,17181,4
other,0.5788006940257452,11134,1
other,0.4771532974208057,13701,1
other,0.7076092403405988,27869,1
other,0.680818969155661,7311,1
other,0.7807718855399717,11202,2
other,0.8696286907038719,11529,2
other,0.7588066078026257,11691,2
other,0.7555883520680536,27542,2
other,0.9421243544898672,19823,3
other,0.91788213454672,31363,3
other,0.9358987892827176,25561,3
other,0.8960044390074867,21384,3
other,0.9554195525708464,4970,4
other,0.9622752173989624,16917,4
other,0.9531882322874616,24838,4
other,0.9594708911235166,7166,4
