Sample,domains,gene_id,gene_name,rank,pval,FDR
Br6522_ant,5v9,ENSG00000229117,RPL41,1,2.3140104310481746e-7,3.213040806259278e-4
Br6522_ant,5v9,ENSG00000137818,RPLP1,2,2.85693125823272e-7,3.7264772448293695e-4
Br6522_ant,5v9,ENSG00000101439,CST3,3,4.640276274336941e-7,5.626367660635473e-4
Br6522_ant,5v9,ENSG00000166333,ILK,4,3.331806332163012e-6,0.003222792623856735
Br6522_ant,5v9,ENSG00000137726,FXYD6,5,5.444288419420573e-6,0.004882165640115399
Br6522_ant,5v9,ENSG00000141480,ARRB2,6,6.690466710757015e-6,0.005937823692738658
Br6522_ant,5v9,ENSG00000186487,MYT1L,7,1.2079609065462904e-5,0.010096207623568646
Br6522_ant,5v9,ENSG00000110436,SLC1A2,8,2.558141023967231e-5,0.018663156311126354
Br6522_ant,5v9,ENSG00000087250,MT3,9,3.908026455845537e-5,0.027370152255001466
Br6522_ant,5v9,ENSG00000139190,VAMP1,10,4.0321715873092856e-5,0.027993676420022724
Br6522_ant,5v9,ENSG00000243449,C4orf48,11,4.0980963515235835e-5,0.028089610563160335
Br6522_ant,5v9,ENSG00000133816,MICAL2,12,4.594486030506939e-5,0.030900790108928232
Br6522_ant,5v9,ENSG00000134308,YWHAQ,13,5.6904765778797994e-5,0.03549867736496494
Br6522_ant,5v9,ENSG00000162734,PEA15,14,7.897181744165316e-5,0.04472714355208577
Br6522_ant,5v9,ENSG00000267855,NDUFA7,15,1.7694322150230146e-4,0.08369608820159412
Br6522_ant,5v9,ENSG00000185813,PCYT2,16,2.1647034870564408e-4,0.09526024989468924
Br6522_ant,5v9,ENSG00000103363,ELOB,17,2.3217943433317956e-4,0.10094880375189275
Br6522_ant,5v9,ENSG00000019582,CD74,18,2.338779238636457e-4,0.10117629502298257
Br6522_ant,5v9,ENSG00000173258,ZNF483,19,2.658676462754528e-4,0.11003852852192873
Br6522_ant,5v9,ENSG00000171858,RPS21,20,2.945844110227025e-4,0.11850552699122623
Br6522_ant,5v9,ENSG00000183011,"NAA38",21,3.169049834208515e-4,0.12556966325053592
Br6522_ant,5v9,ENSG00000185104,FAF1,22,3.4680520033458784e-4,0.1308117514220441
Br6522_ant,5v9,ENSG00000189058,APOD,23,3.7898900506505573e-4,0.1406310580518988
Br6522_ant,5v9,ENSG00000105819,PMPCB,24,3.8956478690954643e-4,0.14331988621995315
Br6522_ant,5v9,ENSG00000162869,PPP1R21,25,4.251968312189991e-4,0.15176507658562086
