Sample,domains,gene_id,gene_name,rank,pval,FDR
Br6522_ant,5v9,ENSG00000115286,NDUFS7,26,4.2796893735719266e-4,0.15176507658562086
Br6522_ant,5v9,ENSG00000138085,ATRAID,27,4.7819573387886116e-4,0.16371699158452882
Br6522_ant,5v9,ENSG00000269028,MTRNR2L12,28,4.8614500247190495e-4,0.16371699158452882
Br6522_ant,5v9,ENSG00000170315,UBB,29,5.720200908433393e-4,0.1854621894283201
Br6522_ant,5v9,ENSG00000219200,RNASEK,30,6.132543586330197e-4,0.19267825264963284
Br6522_ant,5v9,ENSG00000034510,TMSB10,31,6.440784164728486e-4,0.19873628214091252
Br6522_ant,5v9,ENSG00000251562,MALAT1,32,8.142769229710911e-4,0.23059036758136608
Br6522_ant,5v9,ENSG00000100167,SEPTIN3,33,8.35481822313966e-4,0.234042037889338
Br6522_ant,5v9,ENSG00000155886,SLC24A2,34,8.750005196518362e-4,0.23943001373166556
Br6522_ant,5v9,ENSG00000168490,PHYHIP,35,8.850441614622895e-4,0.24050650238794136
Br6522_ant,5v9,ENSG00000111481,COPZ1,36,9.009967929747287e-4,0.24305326598919968
Br6522_ant,5v9,ENSG00000092096,SLC22A17,37,9.062830868707961e-4,0.24305326598919968
Br6522_ant,5v9,ENSG00000186468,RPS23,38,9.483939002624675e-4,0.24891870148108322
Br6522_ant,5v9,ENSG00000113763,UNC5A,39,9.821335163856526e-4,0.2548829861508813
Br6522_ant,5v9,ENSG00000144029,MRPS5,40,0.0010370048759180683,0.2633441762773884
Br6522_ant,5v9,ENSG00000081803,CADPS2,41,0.0010950423532426479,0.26934287458843736
Br6522_ant,5v9,ENSG00000182004,SNRPE,42,0.0011224348545576524,0.27373419761801465
Br6522_ant,5v9,ENSG00000138326,RPS24,43,0.001262021866681895,0.2999325382646275
Br6522_ant,5v9,ENSG00000137500,CCDC90B,44,0.001322121107480645,0.3075865206351481
Br6522_ant,5v9,ENSG00000166233,ARIH1,45,0.001628086174733978,0.34521843007512
Br6522_ant,5v9,ENSG00000189043,NDUFA4,46,0.0016552057705052636,0.3490201735061725
Br6522_ant,5v9,ENSG00000090263,MRPS33,47,0.001670086956997885,0.34907277285547367
Br6522_ant,5v9,ENSG00000152795,HNRNPDL,48,0.001670592677451621,0.34907277285547367
Br6522_ant,5v9,ENSG00000142541,RPL13A,49,0.0017107330025928347,0.3537607120628502
Br6522_ant,5v9,ENSG00000148334,PTGES2,50,0.001727582333530986,0.35546393399760784
Br6522_ant,5v9,ENSG00000156475,PPP2R2B,51,0.0019148514593035904,0.37722135567168763
Br6522_ant,5v9,ENSG00000121769,FABP3,52,0.0019317609008489,0.378818752693121
Br6522_ant,5v9,ENSG00000278291,AL161772.1,53,0.0019858593276789183,0.385911191424882
Br6522_ant,5v9,ENSG00000130770,ATP5IF1,54,0.0020019951578769124,0.38817062871916136
Br6522_ant,5v9,ENSG00000100364,KIAA0930,55,0.002013932513767358,0.38918770687036264
Br6522_ant,5v9,ENSG00000164241,C5orf63,56,0.0021277176682529264,0.4034602612875725
Br6522_ant,5v9,ENSG00000240694,PNMA2,57,0.0022509989222292415,0.41506063779433433
Br6522_ant,5v9,ENSG00000156050,FAM161B,58,0.002354748723786937,0.42676970133341013
Br6522_ant,5v9,ENSG00000156976,EIF4A2,59,0.0024581698503729488,0.4399561872742337
Br6522_ant,5v9,ENSG00000116133,DHCR24,60,0.0026786347119094334,0.4632691946562101
Br6522_ant,5v9,ENSG00000103253,HAGHL,61,0.0028001572251974416,0.4754633830429928
Br6522_ant,5v9,ENSG00000125249,RAP2A,62,0.0028413227723226298,0.4805575536811602
Br6522_ant,5v9,ENSG00000183722,LHFPL6,63,0.0029132845351617087,0.4860442617500023
Br6522_ant,5v9,ENSG00000282885,AL627171.2,64,0.0034412003100031674,0.540594985926191
Br6522_ant,5v9,ENSG00000106976,DNM1,65,0.003488814153011499,0.5450715661742985
Br6522_ant,5v9,ENSG00000042753,AP2S1,66,0.0036855524576073773,0.5633840040856766
Br6522_ant,5v9,ENSG00000141552,ANAPC11,67,0.003697875266929329,0.5633840040856766
Br6522_ant,5v9,ENSG00000119048,UBE2B,68,0.0037316091112596927,0.563486506164034
Br6522_ant,5v9,ENSG00000255823,MTRNR2L8,69,0.0038110338639849584,0.5666903497700512
Br6522_ant,5v9,ENSG00000105887,MTPN,70,0.0041816620342639554,0.6039167687868334
Br6522_ant,5v9,ENSG00000085365,SCAMP1,71,0.004286352736678878,0.6109330039655816
Br6522_ant,5v9,ENSG00000182117,NOP10,72,0.004412069606195668,0.6206311246048573
Br6522_ant,5v9,ENSG00000132963,POMP,73,0.0044441374094719155,0.6220925224497857
Br6522_ant,5v9,ENSG00000152661,GJA1,74,0.004569144433786421,0.6289797542535301
Br6522_ant,5v9,ENSG00000198218,QRICH1,75,0.004621162178768179,0.6307120974916727
Br6522_ant,5v9,ENSG00000173113,TRMT112,76,0.00469350294369919,0.6343081340928978
Br6522_ant,5v9,ENSG00000221890,NPTXR,77,0.004846328043716652,0.6478426842041601
Br6522_ant,5v9,ENSG00000247556,OIP5-AS1,78,0.004859825814663599,0.6486398212911005
Br6522_ant,5v9,ENSG00000018625,ATP1A2,79,0.004906473485887797,0.6528415602057321
Br6522_ant,5v9,ENSG00000164326,CARTPT,80,0.004981589084225968,0.6597769862813002
Br6522_ant,5v9,ENSG00000107758,PPP3CB,81,0.00504057346630693,0.6645220345596187
Br6522_ant,5v9,ENSG00000197971,MBP,82,0.005092733551730899,0.6693484671777247
Br6522_ant,5v9,ENSG00000107282,APBA1,83,0.00535665643458294,0.6862341706989864
Br6522_ant,5v9,ENSG00000173264,GPR137,84,0.005356720596479403,0.6862341706989864
Br6522_ant,5v9,ENSG00000196262,PPIA,85,0.0055268307213011125,0.6956049753441084
Br6522_ant,5v9,ENSG00000122378,PRXL2A,86,0.005740708429833985,0.7130900837460604
Br6522_ant,5v9,ENSG00000187446,CHP1,87,0.0059442009204991875,0.7202998143475429
Br6522_ant,5v9,ENSG00000134419,RPS15A,88,0.005985111217203243,0.7216334096170767
Br6522_ant,5v9,ENSG00000077097,TOP2B,89,0.006145364519217433,0.7327453472720088
Br6522_ant,5v9,ENSG00000261678,SCRT1,90,0.006170232606429238,0.7329031488419999
Br6522_ant,5v9,ENSG00000218739,CEBPZOS,91,0.006203703981604192,0.7329031488419999
Br6522_ant,5v9,ENSG00000124614,RPS10,92,0.006215677301732114,0.7329031488419999
Br6522_ant,5v9,ENSG00000179271,GADD45GIP1,93,0.0063263915183007224,0.7360308170275803
Br6522_ant,5v9,ENSG00000171159,C9orf16,94,0.006510639601827184,0.7503185301768388
Br6522_ant,5v9,ENSG00000165152,TMEM246,95,0.006523973205612266,0.750850007118648
Br6522_ant,5v9,ENSG00000166033,HTRA1,96,0.007094485697671238,0.784788144489607
Br6522_ant,5v9,ENSG00000101193,GID8,97,0.007096051025518357,0.784788144489607
Br6522_ant,5v9,ENSG00000131495,NDUFA2,98,0.007640928674446101,0.8134653663307266
Br6522_ant,5v9,ENSG00000054277,OPN3,99,0.007641808569484598,0.8134653663307266
Br6522_ant,5v9,ENSG00000168481,LGI3,100,0.007791528183601182,0.8221979168510334
